player_id,goals,assists,pass_accuracy,tackles,minutes_played
p10866,0,3,85.96,6,88
p1087,2,2,60.59,7,71
p10872,3,1,91.76,5,70
p108813,0,4,77.29,8,69
p108823,3,3,61.3,7,44
p108824,0,1,83.19,6,24
p1089,3,0,87.79,8,26
p1090,2,3,92.99,2,43
p109006,0,2,84.15,4,26
p109065,1,4,72.6,5,67
p1091,3,4,63.16,2,71
p10916,3,3,66.04,9,88
p10917,0,0,64.0,8,27
p1092,1,3,79.13,4,32
p10920,2,3,75.44,7,35
p10929,3,4,79.72,0,74
p109322,0,0,67.71,2,23
p109345,4,1,96.82,6,26
p109363,0,1,84.48,8,85
p10937,2,4,75.02,2,26
p1094,4,4,86.76,9,33
p10943,2,2,75.67,1,62
p109434,4,2,94.94,5,26
p10949,2,0,93.09,3,58
p1095,3,3,95.83,4,56
p109528,3,0,97.19,3,43
p109533,0,2,74.25,2,77
p10954,0,2,84.87,2,48
p10962,3,3,63.81,7,71
p109638,3,2,63.52,3,24
p109646,0,1,76.38,6,63
p109652,3,3,67.1,8,30
p109653,4,3,86.04,1,86
p1097,0,3,69.49,9,81
p10971,4,4,83.7,3,59
p109745,3,1,85.99,1,39
p109788,1,0,86.81,8,70
p1098,0,3,91.83,5,69
p10995,2,3,94.64,3,25
p109999,2,4,63.91,3,88
p11,2,0,96.7,2,53
p11005,3,3,92.42,4,38
p1101,4,0,90.52,0,56
p11010,1,0,75.29,7,26
p11014,3,1,66.0,2,72
p1102,1,1,83.8,7,52
p1103,0,3,85.5,8,43
p11036,1,0,98.99,1,43
p11037,4,4,90.6,0,58
p1104,2,0,82.18,2,52
p110403,4,0,97.21,8,49
p11043,2,0,82.07,9,81
p1105,4,4,79.04,4,82
p110504,4,2,92.29,8,41
p110578,3,3,82.19,5,59
p110735,1,0,92.18,9,56
p11078,4,3,74.82,1,66
p1109,2,0,63.15,3,55
p110979,4,1,97.36,8,39
p111055,3,0,69.33,9,44
p1112,0,1,93.85,6,59
p111234,1,0,85.47,3,66
p111291,0,3,66.02,0,27
p111295,4,4,93.89,2,83
p1113,3,3,70.39,0,79
p111317,3,4,62.15,8,84
p111319,1,1,94.92,8,32
p111352,1,2,93.63,7,86
p111455,0,1,68.17,9,73
p111457,3,1,67.01,7,61
p111478,3,0,75.05,0,25
p1115,2,1,70.35,4,31
p111565,4,3,95.78,6,69
p11159,2,0,74.02,2,88
p1116,0,0,88.26,9,34
p11160,4,1,84.09,1,79
p11161,2,0,96.23,6,25
p1117,0,2,86.18,8,28
p111773,3,4,71.71,1,61
p111782,3,0,75.47,2,28
p111787,1,3,90.59,4,66
p1118,4,3,62.91,0,55
p111847,1,0,69.0,4,63
p1119,3,1,92.4,9,56
p11190,0,1,97.96,0,86
p11193,4,3,60.62,1,72
p111931,1,4,89.65,6,83
p112,1,3,68.48,0,74
p112060,2,4,68.64,1,86
p112063,1,3,87.89,0,53
p1121,0,1,72.74,2,64
p11212,0,3,68.57,0,23
p112133,4,3,61.56,7,79
p112137,2,0,88.1,0,72
p112139,2,2,72.43,9,68
p11217,3,3,96.66,0,66
p11218,3,1,89.19,5,82
p1122,1,3,95.9,7,76
p112316,2,3,91.22,5,68
p112338,3,4,67.89,6,61
p112467,2,2,68.02,3,20
p11248,3,4,98.57,1,21
p1125,0,4,81.23,7,46
p112507,4,4,95.99,4,29
p112516,0,0,63.98,8,84
p112520,0,2,78.25,3,21
p11269,4,1,80.14,6,37
p11275,1,1,79.48,0,76
p11278,0,0,68.64,7,65
p1128,1,0,70.35,0,86
p11281,0,0,90.91,7,38
p11288,3,3,77.2,0,80
p1129,2,3,74.06,7,28
p1130,3,2,85.3,5,88
p113037,2,3,82.03,3,79
p1131,3,3,77.91,8,64
p1132,0,4,96.04,9,31
p1133,1,3,65.79,1,46
p11334,4,3,75.96,7,87
p1135,4,4,91.34,7,41
p11352,1,0,65.58,8,88
p113534,3,0,84.5,0,83
p113564,1,3,95.4,3,78
p1136,4,2,82.7,0,55
p113688,3,4,89.3,7,25
p113691,3,2,60.57,6,86
p1137,4,4,90.83,9,85
p11378,4,2,95.79,6,54
p113993,4,1,77.67,4,65
p113994,1,2,68.51,4,79
p113999,3,0,75.87,4,87
p114000,0,2,92.86,0,25
p114041,1,3,93.94,5,56
p114042,4,2,89.33,6,76
p114093,3,3,91.73,1,49
p114128,2,1,87.18,5,37
p114242,1,2,86.57,4,23
p114243,2,2,86.64,9,27
p114245,2,4,91.82,3,33
p114283,0,3,85.17,6,50
p114311,3,4,64.26,7,23
p114312,4,1,89.19,7,22
p114315,0,4,75.29,2,86
p114323,4,3,81.79,8,23
p11450,2,0,64.98,2,35
p114517,3,3,62.79,3,35
p114536,2,2,89.6,5,33
p11455,1,4,98.55,6,34
p11462,0,0,76.23,2,35
p11463,1,1,85.01,0,28
p11467,0,1,67.75,8,74
p1147,2,3,99.28,4,56
p11485,1,4,65.55,5,25
p1149,4,3,74.09,6,83
p11500,0,2,69.68,1,73
p11529,2,2,65.82,9,45
p11535,0,1,79.17,9,57
p115357,0,0,89.22,1,39
p115380,0,1,72.33,8,78
p115382,4,2,86.31,2,65
p1154,4,4,75.76,5,83
p11554,4,3,64.72,2,70
p115556,4,0,90.87,9,59
p115557,0,2,93.03,0,52
p115596,4,2,79.23,4,29
p1156,3,2,95.1,8,31
p11561,1,0,64.88,3,24
p11564,3,0,81.99,7,29
p1158,0,0,94.28,9,45
p115854,1,1,97.76,7,23
p115858,3,2,60.18,8,41
p115918,1,3,75.37,8,88
p1160,2,0,92.81,4,34
p11607,0,1,89.03,4,71
p11609,0,3,60.12,3,66
p1161,0,1,87.59,2,81
p116216,4,1,89.74,3,45
p116221,4,1,100.0,4,49
p11624,3,4,66.33,3,44
p1164,2,1,60.64,8,40
p1165,1,3,75.98,9,87
p116535,4,0,70.98,4,62
p116543,2,0,62.44,7,42
p116594,1,1,90.88,2,65
p11662,2,4,74.04,4,75
p11664,2,0,88.41,1,40
p116643,1,1,84.17,7,72
p1167,2,3,98.16,4,51
p11675,3,0,62.6,7,48
p1169,4,0,68.7,1,34
p1170,0,1,62.53,9,54
p11717,2,3,95.98,1,67
p1172,2,0,63.73,4,26
p11721,0,4,79.13,1,21
p11735,3,2,95.68,5,82
p1181,3,1,80.12,0,53
p11811,2,0,77.66,3,24
p1182,2,3,69.65,3,87
p11829,3,4,76.74,1,50
p1183,1,0,98.89,6,62
p118335,2,1,83.09,1,75
p11839,3,1,90.8,0,73
p1184,1,1,78.82,9,81
p11848,0,2,60.69,9,48
p1185,3,4,80.25,0,30
p11854,3,1,84.91,8,25
p1187,3,1,67.25,1,31
p118748,2,2,94.07,0,45
p1188,3,0,83.71,9,32
p11883,1,3,96.79,5,75
p11888,4,3,83.06,8,33
p118884,3,3,71.47,0,79
p1189,3,2,86.78,1,23
p1190,1,4,95.9,2,63
p1191,0,0,60.92,8,22
p11911,0,0,97.71,2,79
p1192,0,0,99.7,8,83
p11922,2,3,72.82,8,24
p11924,4,1,83.04,8,32
p11925,0,1,79.27,4,50
p1194,3,3,82.14,3,73
p119471,3,3,65.42,1,68
p11948,2,3,63.13,3,69
p11949,4,1,89.3,2,80
p1195,0,1,95.79,2,76
p11951,1,1,91.68,7,23
p11958,0,2,60.12,2,62
p1196,1,1,64.08,7,51
p11974,3,1,93.31,6,67
p11975,2,2,63.13,4,34
p119765,4,0,60.87,4,77
p1198,4,3,62.29,3,29
p11980,4,4,66.6,6,40
p11987,4,2,76.75,0,87
p1199,4,0,61.43,9,37
p11991,0,0,75.05,2,32
p12002,1,4,84.71,5,26
p1201,1,2,65.62,6,37
p1202,0,3,94.03,3,29
p12024,2,0,88.92,4,62
p120250,0,3,84.96,6,50
p120385,1,3,78.26,3,40
p1204,2,3,93.61,3,33
p120447,1,0,80.47,8,56
p120544,2,3,80.98,2,67
p1207,3,1,73.36,3,32
p120721,1,1,74.5,6,53
p12086,2,0,88.52,1,67
p12088,0,0,97.11,5,32
p1209,1,0,92.64,4,24
p12092,1,3,65.3,6,43
p12097,3,1,74.12,1,76
p1211,2,1,95.3,0,63
p121145,2,1,97.69,5,26
p121160,2,2,60.69,9,57
p1212,0,2,65.67,2,66
p121221,2,1,93.52,7,55
p12141,3,1,80.63,9,70
p12142,0,3,66.75,1,56
p12150,1,3,64.71,6,27
p12153,1,4,64.68,6,49
p121599,4,4,76.36,2,63
p1216,0,2,76.09,6,61
p1217,3,1,62.46,1,73
p1218,0,1,76.97,2,46
p1219,0,2,71.76,2,53
p12191,1,4,92.38,0,59
p12207,1,4,69.9,4,58
p122074,0,1,81.78,4,40
p1222,3,1,80.57,9,76
p1223,2,4,89.44,4,36
p12231,0,1,79.01,4,83
p122342,1,3,73.37,9,43
p122399,4,3,86.53,4,34
p1224,1,0,82.61,9,28
p1225,1,0,75.98,9,55
p1226,0,3,74.32,3,54
p12269,4,4,78.94,0,87
p1227,0,1,90.94,4,32
p12273,4,4,80.74,9,22
p122775,3,3,91.22,2,84
p122797,3,2,71.8,1,42
p122798,3,4,64.27,6,87
p122806,0,3,96.97,9,52
p12295,3,2,95.44,5,82
p12297,1,1,65.32,6,65
p12303,4,3,75.79,1,37
p12309,0,1,60.78,8,72
p1231,2,2,79.07,9,88
p123125,3,0,82.23,1,48
p1232,1,3,99.76,9,76
p1233,3,1,98.4,1,67
p123354,3,0,86.32,0,66
p1234,1,4,67.92,1,77
p1235,4,1,75.0,2,68
p1236,3,3,86.94,7,69
p1237,0,2,86.32,5,46
p1238,3,1,83.89,3,34
p12390,3,2,97.0,7,87
p12395,2,3,92.02,0,29
p1240,3,2,78.7,6,38
p12413,4,0,84.5,7,72
p124165,2,4,76.3,1,86
p124183,1,0,60.95,6,26
p1242,4,1,65.39,7,77
p12429,1,3,81.63,3,21
p1243,2,1,86.27,9,83
p12433,1,3,95.07,5,63
p1244,4,1,72.34,0,37
p12443,2,2,67.33,4,24
p12450,3,4,86.62,4,65
p12455,2,2,82.99,6,82
p124584,0,1,78.13,4,87
p1246,4,2,99.34,2,79
p1247,0,2,78.16,8,53
p1249,2,1,72.92,1,70
p12496,2,0,84.53,3,74
p12512,2,1,77.09,3,20
p12517,3,2,77.43,8,53
p1252,4,3,69.17,6,58
p1254,4,3,80.31,3,79
p125510,0,4,77.01,7,79
p1256,2,3,74.45,8,28
p1258,2,3,99.78,2,26
p1259,3,3,79.23,9,89
p1260,0,3,77.23,6,45
p126184,4,2,87.65,6,35
p126186,0,2,90.69,4,29
p126187,2,0,75.71,7,86
p126189,2,3,97.98,4,60
p126190,3,1,93.31,2,79
p12627,0,4,71.62,6,59
p1263,3,4,86.64,9,37
p126407,1,2,74.91,4,89
p126468,3,1,78.12,8,83
p1265,2,4,93.17,0,85
p12658,0,2,60.26,0,43
p1266,0,1,92.53,0,53
p1267,2,3,98.45,8,29
p12674,1,0,90.65,5,26
p12679,3,1,90.08,1,89
p1269,2,2,62.32,5,25
p12699,2,1,76.58,9,53
p1270,0,4,69.98,3,84
p1274,1,2,60.0,9,44
p12744,3,1,60.41,5,64
p12745,0,3,97.39,8,79
p12746,3,0,78.08,8,30
p1275,2,3,89.02,7,52
p12751,2,4,99.48,4,88
p12765,3,4,76.43,8,79
p12767,2,3,97.29,1,21
p1277,0,4,90.66,4,42
p12780,3,1,88.84,7,62
p12799,1,0,91.18,2,26
p1280,4,1,95.73,6,21
p12801,2,4,99.87,6,88
p1281,3,2,75.21,0,75
p12813,0,4,87.93,1,59
p128198,4,2,70.46,7,76
p128295,0,0,72.66,6,28
p12830,4,4,67.81,6,25
p128348,4,3,94.72,0,72
p128389,1,2,84.8,8,85
p1284,1,3,77.07,0,54
p12843,1,0,62.91,8,66
p12844,4,3,77.35,3,32
p1285,0,4,68.55,5,83
p12852,2,0,88.57,5,81
p1286,4,1,60.5,6,82
p12863,1,4,77.46,2,46
p12864,3,1,83.61,0,44
p12875,4,4,85.49,6,46
p12877,0,2,73.35,8,68
p12882,1,2,82.06,6,32
p1289,0,2,73.53,7,29
p12891,1,3,60.8,8,47
p12899,2,2,79.17,5,20
p1290,3,0,61.18,8,70
p129028,0,3,89.22,9,79
p1291,3,3,74.8,0,80
p1292,3,0,81.82,7,47
p12925,3,3,79.82,0,80
p12928,4,0,88.69,2,41
p1294,3,3,83.33,1,82
p1295,1,3,85.68,2,85
p12959,4,2,85.28,6,34
p1296,0,4,80.37,9,38
p12962,0,2,85.02,5,30
p129761,4,1,73.91,9,39
p1298,0,3,64.46,6,45
p1299,2,4,64.17,9,51
p13000,2,2,71.33,6,61
p130025,4,3,72.38,6,78
p130036,1,1,88.76,0,35
p1301,2,2,65.6,4,38
p130103,0,0,68.84,9,63
p13017,1,0,90.67,5,24
p1302,1,0,93.13,7,36
p1303,0,1,92.36,0,27
p1304,4,0,91.75,5,83
p1306,3,1,76.16,6,41
p1307,2,2,63.38,7,83
p1308,4,4,85.54,6,49
p1309,1,2,90.5,7,82
p1310,3,1,76.94,4,47
p13105,3,4,75.46,2,72
p1311,2,0,72.28,1,39
p13111,0,3,97.0,2,56
p131289,0,4,77.62,9,27
p1313,4,2,96.37,5,40
p131304,2,4,65.06,6,48
p1314,1,4,95.99,5,39
p13140,1,0,60.82,5,71
p131403,2,4,80.13,9,26
p1315,1,2,86.32,2,84
p13152,0,1,96.17,9,56
p1316,1,3,85.23,6,34
p13164,4,2,92.29,3,76
p13174,4,4,94.9,5,57
p1318,3,1,90.01,9,63
p13189,4,2,81.51,7,80
p131897,4,4,66.71,1,21
p1319,1,3,99.34,7,20
p13190,0,3,92.29,3,54
p1320,1,4,95.72,5,77
p13201,1,2,81.85,2,68
p132015,1,0,92.09,0,20
p1322,2,0,87.95,9,60
p13227,3,3,77.25,9,73
p1323,1,0,93.32,2,45
p13235,1,1,83.67,7,33
p13239,4,2,65.52,9,50
p1324,0,0,87.13,1,38
p1325,0,1,92.47,5,66
p1327,1,3,63.65,8,48
p1328,1,3,92.43,8,89
p13290,0,4,66.07,2,69
p132931,4,2,78.13,4,60
p1330,3,0,64.04,7,65
p13303,3,3,71.87,1,88
p13308,1,1,97.66,5,44
p1331,0,0,66.46,6,47
p13310,1,2,94.31,1,83
p1332,1,4,89.21,0,27
p1333,1,3,62.82,0,51
p1334,2,3,88.67,6,89
p1336,1,2,73.62,7,42
p13363,1,4,66.71,1,83
p133639,2,2,86.79,0,73
p1337,4,0,97.11,9,60
p133798,3,3,95.1,4,49
p133801,1,0,84.53,1,83
p13385,4,2,89.57,7,83
p13388,4,1,66.01,7,33
p1339,3,1,99.32,2,20
p13394,1,2,85.93,4,48
p13395,2,0,96.58,0,52
p13396,3,1,92.92,8,42
p13399,1,3,83.06,8,56
p1340,0,3,73.3,4,32
p1341,1,4,61.48,9,62
p13429,1,0,70.48,5,89
p1343,3,4,89.5,8,78
p134379,1,2,62.81,9,52
p134382,2,2,86.53,8,73
p134383,2,1,80.12,0,68
p134384,3,0,70.85,3,72
p13439,2,2,64.59,4,26
p1344,3,3,86.55,2,72
p13447,1,2,85.56,8,22
p1351,2,0,81.98,9,46
p13524,2,4,78.53,5,32
p135363,4,2,66.83,8,24
p135365,4,4,70.28,4,81
p135421,3,0,92.46,2,62
p1355,3,3,62.67,5,81
p1357,0,2,88.71,1,77
p135720,3,3,74.69,5,72
p13594,1,2,78.95,9,89
p1361,4,1,89.02,1,35
p1362,4,3,60.71,3,66
p136380,2,3,86.0,7,71
p13653,2,1,72.47,6,63
p13656,3,1,79.98,9,30
p13657,2,1,81.3,3,71
p13669,0,3,62.93,0,61
p1369,4,4,86.04,8,24
p1371,2,4,68.72,3,40
p1373,1,0,64.49,9,64
p1374,0,0,64.39,1,34
p13740,3,2,84.1,3,47
p1375,0,2,80.57,9,82
p1376,2,4,90.18,0,46
p1377,3,4,61.88,1,72
p1379,4,1,87.96,7,76
p137951,0,2,94.8,1,59
p1380,3,4,92.51,8,37
p138005,4,4,94.79,6,39
p138006,1,4,67.52,8,66
p138007,2,0,94.22,3,52
p138009,0,4,94.24,2,30
p1381,4,4,84.85,6,85
p1382,2,4,84.59,4,41
p13866,1,1,63.76,1,41
p1387,1,0,90.62,8,78
p13880,4,4,73.43,8,40
p1389,2,3,89.26,5,43
p13892,0,4,93.86,6,76
p13898,2,1,87.67,1,64
p1390,0,0,61.62,8,88
p13906,1,2,93.34,8,22
p1391,2,0,91.36,1,76
p139110,3,3,84.02,8,37
p13919,1,1,78.63,6,43
p13927,2,3,77.98,5,53
p1393,1,3,78.41,6,64
p1394,1,0,65.48,4,47
p1397,1,2,75.22,8,20
p1398,4,0,85.44,7,22
p1399,3,1,65.79,1,63
p14,0,4,71.1,9,31
p1400,1,1,61.14,1,68
p1402,1,2,90.18,6,42
p14025,4,0,92.46,1,51
p1404,4,2,70.57,1,25
p14042,0,2,75.61,7,47
p14055,3,3,91.23,8,81
p1406,2,0,73.29,9,75
p14075,3,4,91.74,3,52
p1408,1,0,87.63,5,80
p1409,3,1,76.34,4,53
p141020,2,2,87.74,9,37
p1411,3,2,75.9,9,58
p141281,3,4,85.14,5,44
p1413,4,2,69.64,2,78
p1414,0,1,85.72,4,40
p1415,2,0,63.19,4,79
p141569,1,2,63.27,0,33
p14158,2,2,70.2,4,42
p1416,2,0,76.1,1,87
p14161,0,2,86.14,4,77
p14166,2,4,73.22,3,25
p141746,3,4,97.98,8,70
p14177,3,1,90.79,3,24
p1418,2,1,89.31,6,89
p14190,4,1,74.37,8,73
p141921,3,4,96.5,4,85
p1420,1,1,95.93,0,44
p1421,4,2,67.01,4,30
p14210,1,4,60.65,5,54
p14234,0,4,75.42,8,45
p1424,0,2,88.64,8,35
p1425,2,4,74.52,7,51
p14278,3,3,60.31,4,70
p14279,3,3,62.11,2,56
p14283,0,3,79.61,6,41
p14289,3,3,67.68,0,54
p14295,3,4,68.56,1,66
p1430,0,4,74.98,7,52
p1431,4,2,89.74,2,71
p14311,1,1,61.16,4,60
p14325,1,4,71.98,5,55
p1433,2,1,89.0,5,24
p1434,1,4,76.19,7,64
p14356,2,1,71.87,2,67
p14358,1,1,87.51,6,78
p143582,1,3,97.5,8,64
p1437,0,2,73.72,3,57
p143877,3,1,82.06,0,46
p14402,2,1,94.2,7,68
p1441,3,4,78.04,1,81
p1442,2,3,87.45,1,65
p14422,2,1,98.4,0,82
p144485,2,0,64.36,7,37
p144660,2,0,80.14,1,42
p14469,0,3,64.19,5,57
p14471,2,1,67.06,9,66
p14476,3,4,61.26,6,81
p14483,0,1,82.87,1,76
p14489,2,0,68.91,6,21
p1449,1,0,87.14,1,43
p145,3,0,92.07,8,29
p1450,0,2,69.46,1,48
p14501,2,0,69.26,9,45
p1451,3,3,84.98,9,33
p14516,1,2,89.93,3,80
p145212,3,1,66.39,4,67
p145235,4,2,91.78,9,77
p1454,3,3,96.88,6,20
p1456,1,3,90.58,0,75
p14575,2,1,60.68,1,40
p14592,4,2,81.33,7,66
p14593,4,3,60.87,2,81
p146,2,3,95.27,3,45
p1461,1,3,84.09,6,86
p146339,0,1,94.01,6,89
p146426,1,3,87.56,6,30
p146610,2,3,63.94,7,64
p14664,0,2,60.99,6,83
p14668,4,1,93.24,7,61
p146941,3,0,61.53,0,30
p14720,4,0,77.04,6,28
p147303,3,4,83.35,7,28
p14731,4,2,93.97,5,79
p147612,1,3,83.99,9,51
p147668,0,1,85.24,0,44
p147675,3,3,94.33,2,69
p14775,3,2,73.7,8,24
p14785,1,4,83.87,0,76
p14788,4,0,92.06,6,41
p14791,4,0,89.2,1,61
p148179,1,2,73.61,9,23
p148225,0,3,87.24,9,65
p1483,3,0,87.83,7,82
p148418,1,1,64.03,8,63
p148420,3,1,89.31,9,69
p148508,3,4,68.48,0,27
p1487,4,4,88.55,1,78
p14871,1,4,76.93,0,79
p1488,3,0,74.71,7,88
p14898,1,4,99.86,8,57
p149,2,1,67.53,6,86
p1490,1,4,95.21,8,48
p149016,1,4,90.47,5,74
p149051,3,4,85.44,3,78
p149065,3,1,96.93,6,54
p14909,4,4,81.1,3,75
p14910,4,1,62.55,6,39
p14912,4,2,81.8,7,45
p14913,0,4,68.1,8,66
p14919,2,4,80.26,9,25
p14926,0,2,92.6,8,63
p149266,3,0,61.2,0,41
p14927,3,1,76.49,5,84
p14934,3,2,90.18,5,26
p14937,3,1,79.62,9,49
p14938,1,2,62.64,0,67
p149465,2,3,87.85,9,71
p149468,0,0,61.83,6,29
p14947,2,3,80.96,5,87
p149484,3,0,86.96,6,50
p149485,2,1,89.7,6,69
p149519,2,2,82.49,7,61
p14965,2,1,87.88,6,65
p1497,2,0,63.59,0,34
p149736,4,0,61.3,7,60
p1498,4,4,80.19,2,20
p149828,3,0,91.06,6,60
p14985,4,3,80.34,9,72
p14986,4,2,63.32,8,55
p14987,2,3,86.71,1,62
p14989,0,0,92.34,2,89
p1499,2,3,92.57,7,52
p14990,3,2,69.98,2,78
p14991,0,1,91.3,5,41
p149915,1,1,76.82,6,61
p14992,0,3,91.98,2,86
p14996,0,4,94.3,8,67
p14997,3,3,64.2,6,42
p14998,3,2,92.37,4,25
p14999,0,4,95.24,8,50
p1500,2,4,88.08,1,57
p15000,1,0,98.96,9,43
p15001,0,0,76.12,8,29
p15002,3,2,60.47,2,81
p15003,1,1,93.24,5,22
p15005,0,3,70.79,9,37
p15006,1,0,75.2,4,82
p15007,1,3,86.71,5,36
p15008,2,0,74.35,8,75
p15009,1,1,72.93,9,27
p1501,3,3,65.94,3,30
